what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1337068410984
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1337068412796
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1337068414578
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1337068418562
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1337068462765
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1337068501921
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1337068504875
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337068508578
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337068517671
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1337068531203
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1337068532421
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1337068534687
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337068535953
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337068557843
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1337068581421
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337068582156
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337068585828
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1337068624734
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1337068626984
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1337068628437
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1337068645562
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1337068647578
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337068649265
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337068656281
